Date,Open,High,Low,Close,Volume
07/01/2025,"132.59","136.39","132.47","135.26","12,846,690"
06/30/2025,"131.20","132.36","130.59","132.04","11,402,440"
06/27/2025,"128.29","131.34","128.11","131.04","26,536,480"
06/26/2025,"127.71","129.16","127.60","128.22","11,538,070"
06/25/2025,"130.26","130.59","127.63","128.02","10,922,570"
06/24/2025,"129.14","131.21","129.05","131.05","9,226,773"
06/23/2025,"129.29","129.50","127.82","129.09","12,840,360"
06/20/2025,"129.53","130.42","128.90","129.07","23,000,971"
06/18/2025,"129.63","129.68","128.59","129.07","8,785,766"
06/17/2025,"131.16","131.69","129.13","129.29","10,235,230"
06/16/2025,"131.31","132.09","130.23","131.41","11,183,690"
06/13/2025,"131.76","133.06","130.59","130.85","9,581,034"
06/12/2025,"129.89","132.33","129.71","132.30","11,444,910"
06/11/2025,"131.94","131.97","129.79","129.90","9,168,356"
06/10/2025,"130.20","132.12","129.46","131.83","11,852,870"
06/09/2025,"129.83","130.65","129.18","129.96","8,453,146"
06/06/2025,"130.25","130.67","129.34","130.03","7,628,224"
06/05/2025,"131.20","131.41","130.21","131.11","9,566,619"
06/04/2025,"132.24","132.74","131.10","131.74","6,519,728"
06/03/2025,"130.63","132.21","129.81","131.85","7,339,524"
06/02/2025,"130.90","131.03","129.07","130.91","6,723,720"
05/30/2025,"132.15","132.72","131.29","131.45","12,992,080"
05/29/2025,"130.86","132.07","130.25","131.92","6,659,069"
05/28/2025,"131.29","132.19","130.47","130.67","9,431,450"
05/27/2025,"130.08","131.46","129.13","131.37","13,974,760"
05/23/2025,"129.56","129.76","127.75","129.34","8,122,494"
05/22/2025,"130.02","130.70","128.82","130.12","7,140,231"
05/21/2025,"131.80","131.90","130.06","130.15","9,243,724"
05/20/2025,"131.75","132.17","131.35","131.80","7,624,244"
05/19/2025,"132.13","132.26","131.11","131.79","9,406,194"
05/16/2025,"132.09","132.26","130.65","131.98","8,896,370"
05/15/2025,"129.19","131.55","128.81","131.50","9,165,089"
05/14/2025,"130.07","130.17","127.87","128.45","10,463,020"
05/13/2025,"131.17","131.64","129.75","130.31","8,650,220"
05/12/2025,"130.84","132.33","130.06","131.68","8,392,720"
05/09/2025,"131.15","131.65","130.18","130.44","4,770,504"
05/08/2025,"131.89","132.98","131.26","131.43","6,392,355"
05/07/2025,"130.95","132.67","130.27","131.92","6,313,815"
05/06/2025,"131.90","131.90","130.16","130.74","6,889,893"
05/05/2025,"134.05","134.05","131.70","131.99","8,972,159"
05/02/2025,"134.15","134.40","133.15","133.75","7,169,731"
05/01/2025,"134.47","134.81","133.24","133.55","6,807,019"
04/30/2025,"135.63","136.18","133.10","135.58","7,923,472"
04/29/2025,"132.48","134.46","131.52","134.31","7,010,733"
04/28/2025,"133.90","135.41","133.10","133.76","8,498,608"
04/25/2025,"135.47","135.61","131.80","133.38","11,544,690"
04/24/2025,"141.45","141.85","134.53","135.31","15,577,260"
04/23/2025,"143.27","144.02","140.85","142.26","7,760,035"
04/22/2025,"142.28","144.28","141.95","143.46","7,144,709"
04/21/2025,"142.50","142.83","140.57","141.73","7,412,800"
04/17/2025,"140.34","143.57","140.08","142.84","6,131,364"
04/16/2025,"144.11","144.40","139.77","140.09","7,878,593"
04/15/2025,"145.84","145.98","142.63","142.84","5,459,551"
04/14/2025,"144.16","147.18","143.50","146.75","5,393,999"
04/11/2025,"145.15","145.29","142.12","144.43","8,563,304"
04/10/2025,"145.42","147.14","142.92","144.14","10,980,260"
