PAŃSTWO;MIEJSCOWOŚĆ;ULICA;NUMER;KOD 
Polska;Warszawa;al. gen. Józefa Hallera;41;00-213
Polska;Warszawa;al. gen. Józefa Hallera;33b;00-214
Polska;Warszawa;al. gen. Józefa Hallera;92c;00-215
Polska;Warszawa;al. gen. Józefa Hallera;41;00-215
Polska;Warszawa;al. gen. Józefa Hallera;9;00-224
Polska;Warszawa;al. gen. Józefa Hallera;40c;00-224
Polska;Warszawa;al. gen. Józefa Hallera;52c;00-225
Polska;Warszawa;al. gen. Józefa Hallera;96;00-229
Polska;Warszawa;al. gen. Józefa Hallera;65a;00-232
Polska;Warszawa;al. gen. Józefa Hallera;42;00-234
Polska;Warszawa;al. gen. Józefa Hallera;43a;00-241
Polska;Warszawa;al. gen. Józefa Hallera;48;00-242
Polska;Warszawa;al. gen. Józefa Hallera;44;00-248
Polska;Warszawa;al. gen. Józefa Hallera;93;00-255
Polska;Warszawa;al. gen. Józefa Hallera;76b;00-256
Polska;Warszawa;al. gen. Józefa Hallera;53;00-257
Polska;Warszawa;al. gen. Józefa Hallera;48c;00-262
Polska;Warszawa;al. gen. Józefa Hallera;100;00-263
Polska;Warszawa;al. gen. Józefa Hallera;83;00-267
Polska;Warszawa;al. gen. Józefa Hallera;41b;00-268
Polska;Warszawa;al. gen. Józefa Hallera;85c;00-270
Polska;Warszawa;al. gen. Józefa Hallera;2c;00-271
Polska;Warszawa;al. gen. Józefa Hallera;78;00-272
Polska;Warszawa;al. gen. Józefa Hallera;33;00-273
Polska;Warszawa;al. gen. Józefa Hallera;74;00-274
Polska;Warszawa;al. gen. Józefa Hallera;100;00-275
Polska;Warszawa;al. gen. Józefa Hallera;8a;00-277
Polska;Warszawa;al. gen. Józefa Hallera;30;00-278
Polska;Warszawa;al. gen. Józefa Hallera;44c;00-279
Polska;Warszawa;al. gen. Józefa Hallera;20;00-280
Polska;Warszawa;al. gen. Józefa Hallera;86a;00-280
Polska;Warszawa;al. gen. Józefa Hallera;59a;00-281
Polska;Warszawa;al. gen. Józefa Hallera;23c;00-282
Polska;Warszawa;al. gen. Józefa Hallera;57;00-283
Polska;Warszawa;al. gen. Józefa Hallera;30;00-284
Polska;Warszawa;al. gen. Józefa Hallera;96;00-285
Polska;Warszawa;al. gen. Józefa Hallera;26;00-286
Polska;Warszawa;al. gen. Józefa Hallera;40a;00-287
Polska;Warszawa;al. gen. Józefa Hallera;64b;00-288
Polska;Warszawa;al. gen. Józefa Hallera;66c;00-301
Polska;Warszawa;al. gen. Józefa Hallera;76c;00-302
Polska;Warszawa;al. gen. Józefa Hallera;46;00-303
Polska;Warszawa;al. gen. Józefa Hallera;6;00-304
Polska;Warszawa;al. gen. Józefa Hallera;51c;00-305
Polska;Warszawa;al. gen. Józefa Hallera;4;00-306
Polska;Warszawa;al. gen. Józefa Hallera;94;00-307
Polska;Warszawa;al. gen. Józefa Hallera;88;00-308
Polska;Warszawa;al. gen. Józefa Hallera;81;00-309
Polska;Warszawa;al. gen. Józefa Hallera;95c;00-310
Polska;Warszawa;al. gen. Józefa Hallera;90;00-311
Polska;Warszawa;al. gen. Józefa Hallera;49a;00-312
Polska;Warszawa;al. gen. Józefa Hallera;38;00-313
Polska;Warszawa;al. gen. Józefa Hallera;38;00-314
Polska;Warszawa;al. gen. Józefa Hallera;58;00-315
Polska;Warszawa;al. gen. Józefa Hallera;1c;00-316
Polska;Warszawa;al. gen. Józefa Hallera;96c;00-317
Polska;Warszawa;al. gen. Józefa Hallera;69;00-318
Polska;Warszawa;al. gen. Józefa Hallera;30;00-321
Polska;Warszawa;al. gen. Józefa Hallera;7b;00-322
Polska;Warszawa;al. gen. Józefa Hallera;58a;00-324
Polska;Warszawa;al. gen. Józefa Hallera;26;00-325
Polska;Warszawa;al. gen. Józefa Hallera;90b;00-327
Polska;Warszawa;al. gen. Józefa Hallera;25;00-327
Polska;Warszawa;al. gen. Józefa Hallera;85;00-328
Polska;Warszawa;al. gen. Józefa Hallera;53;00-330
Polska;Warszawa;al. gen. Józefa Hallera;99;00-331
Polska;Warszawa;al. gen. Józefa Hallera;99;00-332
Polska;Warszawa;al. gen. Józefa Hallera;7;00-333
Polska;Warszawa;al. gen. Józefa Hallera;69;00-334
Polska;Warszawa;al. gen. Józefa Hallera;98a;00-335
Polska;Warszawa;al. gen. Józefa Hallera;59;00-336
Polska;Warszawa;al. gen. Józefa Hallera;81;00-337
Polska;Warszawa;al. gen. Józefa Hallera;85;00-338
Polska;Warszawa;al. gen. Józefa Hallera;6c;00-339
Polska;Warszawa;al. gen. Józefa Hallera;1b;00-340
Polska;Warszawa;al. gen. Józefa Hallera;48;00-341
Polska;Warszawa;al. gen. Józefa Hallera;79c;00-342
Polska;Warszawa;al. gen. Józefa Hallera;43;00-343
Polska;Warszawa;al. gen. Józefa Hallera;82c;00-344
Polska;Warszawa;al. gen. Józefa Hallera;42;00-345
Polska;Warszawa;al. gen. Józefa Hallera;15;00-346
Polska;Warszawa;al. gen. Józefa Hallera;42;00-347
Polska;Warszawa;al. gen. Józefa Hallera;59;00-348
Polska;Warszawa;al. gen. Józefa Hallera;20;00-349
Polska;Warszawa;al. gen. Józefa Hallera;70;00-350
Polska;Warszawa;al. gen. Józefa Hallera;12;00-351
Polska;Warszawa;al. gen. Józefa Hallera;77;00-353
Polska;Warszawa;al. gen. Józefa Hallera;65;00-354
Polska;Warszawa;al. gen. Józefa Hallera;90;00-355
Polska;Warszawa;al. gen. Józefa Hallera;21;00-356
Polska;Warszawa;al. gen. Józefa Hallera;71;00-357
Polska;Warszawa;al. gen. Józefa Hallera;31;00-358
Polska;Warszawa;al. gen. Józefa Hallera;59;00-359
Polska;Warszawa;al. gen. Józefa Hallera;7;00-360
Polska;Warszawa;al. gen. Józefa Hallera;3b;00-362
Polska;Warszawa;al. gen. Józefa Hallera;44;00-362
Polska;Warszawa;al. gen. Józefa Hallera;63b;00-363
Polska;Warszawa;al. gen. Józefa Hallera;12;00-364
Polska;Warszawa;al. gen. Józefa Hallera;93;00-365
Polska;Warszawa;al. gen. Józefa Hallera;36;00-366
Polska;Warszawa;al. gen. Józefa Hallera;84;00-367
Polska;Warszawa;al. gen. Józefa Hallera;75;00-368
Polska;Warszawa;al. gen. Józefa Hallera;34;00-369
Polska;Warszawa;al. gen. Józefa Hallera;98;00-370
Polska;Warszawa;al. gen. Józefa Hallera;6;00-370
Polska;Warszawa;al. gen. Józefa Hallera;70b;00-372
Polska;Warszawa;al. gen. Józefa Hallera;35;00-373
Polska;Warszawa;al. gen. Józefa Hallera;99;00-373
Polska;Warszawa;al. gen. Józefa Hallera;47;00-374
Polska;Warszawa;al. gen. Józefa Hallera;32a;00-375
Polska;Warszawa;al. gen. Józefa Hallera;39;00-377
Polska;Warszawa;al. Jana III Sobieskiego;62;00-378
Polska;Warszawa;al. Jana III Sobieskiego;95;00-379
Polska;Warszawa;al. Jana III Sobieskiego;99;00-380
Polska;Warszawa;al. Jana III Sobieskiego;94;00-381
Polska;Warszawa;al. Jana III Sobieskiego;46;00-382
Polska;Warszawa;al. Jarzębinowa;12b;00-384
Polska;Warszawa;al. Jarzębinowa;57a;00-385
Polska;Warszawa;al. Jarzębinowa;3;00-386
Polska;Warszawa;al. Jarzębinowa;87;00-388
Polska;Warszawa;al. Jarzębinowa;90b;00-389
Polska;Warszawa;al. Jarzębinowa;21;00-390
Polska;Warszawa;al. Jarzębinowa;40;00-391
Polska;Warszawa;al. Jarzębinowa;29;00-392
Polska;Warszawa;al. Jarzębinowa;38b;00-393
Polska;Warszawa;al. Jarzębinowa;28;00-394
Polska;Warszawa;al. Jarzębinowa;52c;00-400
Polska;Warszawa;al. Jarzębinowa;99;00-400
Polska;Warszawa;al. Jarzębinowa;82;00-401
Polska;Warszawa;al. Jarzębinowa;61a;00-402
Polska;Warszawa;al. Jarzębinowa;31b;00-403
Polska;Warszawa;al. Jarzębinowa;42;00-404
Polska;Warszawa;al. Jarzębinowa;53;00-405
Polska;Warszawa;al. Jarzębinowa;14;00-406
Polska;Warszawa;al. Jarzębinowa;50c;00-407
Polska;Warszawa;al. Jarzębinowa;87a;00-408
Polska;Warszawa;al. Jarzębinowa;10;00-409
Polska;Warszawa;al. Jaworowa;13;00-410
Polska;Warszawa;al. Jaworowa;92b;00-412
Polska;Warszawa;al. Jaworowa;84b;00-413
Polska;Warszawa;al. Jaworowa;7;00-414
Polska;Warszawa;al. Jaworowa;97;00-414
Polska;Warszawa;al. Jaworowa;42;00-415
Polska;Warszawa;al. Jaworowa;63;00-416
Polska;Warszawa;al. Jaworowa;27a;00-417
Polska;Warszawa;al. Jaworowa;45;00-418
Polska;Warszawa;al. Jaworowa;64c;00-419
Polska;Warszawa;al. Jaworowa;41b;00-420
Polska;Warszawa;al. Jaworowa;70;00-421
Polska;Warszawa;al. Jaworowa;62;00-422
Polska;Warszawa;al. Jaworowa;61a;00-422
Polska;Warszawa;al. Jaworowa;27;00-423
Polska;Warszawa;al. Jaworowa;17;00-424
Polska;Warszawa;al. Jaworowa;51;00-425
Polska;Warszawa;al. Jaworowa;32;00-427
Polska;Warszawa;al. Jaworowa;14;00-428
Polska;Warszawa;al. Jaworowa;55;00-429
Polska;Warszawa;al. Jaworowa;70;00-430
Polska;Warszawa;al. Jaworowa;30c;00-431
Polska;Warszawa;al. Jaworowa;44c;00-432
Polska;Warszawa;al. Jaworowa;64;00-433
Polska;Warszawa;al. Jaworowa;51b;00-434
Polska;Warszawa;al. Jaworowa;79;00-435
Polska;Warszawa;al. Jaworowa;58;00-436
Polska;Warszawa;al. Jaworowa;95;00-438
Polska;Warszawa;al. Jaworowa;67;00-439
Polska;Warszawa;al. Jaworowa;36;00-440
Polska;Warszawa;al. Jaworowa;30;00-441
Polska;Warszawa;al. Jaworowa;3;00-442
Polska;Warszawa;al. Jaworowa;55a;00-443
Polska;Warszawa;al. Jaworowa;66;00-444
Polska;Warszawa;al. Jaworowa;44;00-446
Polska;Warszawa;al. Jaworowa;63;00-447
Polska;Warszawa;al. Jaworowa;85;00-447
Polska;Warszawa;al. Jaworowa;85c;00-448
Polska;Warszawa;al. Jaworowa;25;00-449
Polska;Warszawa;al. Jaworowa;15;00-450
Polska;Warszawa;al. Jaworowa;79;00-451
Polska;Warszawa;al. Jaworowa;75;00-452
Polska;Warszawa;al. Jaworowa;31;00-453
Polska;Warszawa;al. Jaworowa;92;00-454
Polska;Warszawa;al. Jaworowa;7;00-455
Polska;Warszawa;al. Jaworowa;11c;00-456
Polska;Warszawa;al. Jaworowa;30c;00-457
Polska;Warszawa;al. Jaworowa;9;00-458
Polska;Warszawa;al. Jaworowa;95c;00-459
Polska;Warszawa;al. Jaworowa;63;00-459
Polska;Warszawa;al. Jaworowa;18b;00-460
Polska;Warszawa;al. Jaworowa;24;00-460
Polska;Warszawa;al. Jaworowa;23b;00-460
Polska;Warszawa;al. Jaworowa;74;00-461
Polska;Warszawa;al. Jaworowa;57a;00-462
Polska;Warszawa;al. Jaworowa;98;00-463
Polska;Warszawa;al. Jaworowa;74c;00-464
Polska;Warszawa;al. Jaworowa;16;00-465
Polska;Warszawa;al. Jaworowa;37;00-466
Polska;Warszawa;al. Jaworowa;93c;00-466
Polska;Warszawa;al. Jaworowa;29;00-467
Polska;Warszawa;al. Jaworowa;58;00-467
Polska;Warszawa;al. Jaworowa;8;00-468
Polska;Warszawa;al. Jaworowa;82;00-468
Polska;Warszawa;al. Kanonierska;84;00-478
Polska;Warszawa;al. Kanonierska;89;00-479
Polska;Warszawa;al. Karkonoska;51;00-480
Polska;Warszawa;al. Karkonoska;95c;00-481
Polska;Warszawa;al. Karkonoska;23;00-482
Polska;Warszawa;al. Karkonoska;39;00-482
Polska;Warszawa;al. Karkonoska;89c;00-483
Polska;Warszawa;al. Karkonoska;26b;00-484
Polska;Warszawa;al. Karkonoska;20;00-485
Polska;Warszawa;al. Karkonoska;8;00-486
Polska;Warszawa;al. Karkonoska;32;00-487
Polska;Warszawa;al. Karkonoska;85a;00-488
Polska;Warszawa;al. Karkonoska;55c;00-489
Polska;Warszawa;al. Karkonoska;89;00-490
Polska;Warszawa;al. Karkonoska;47;00-491
Polska;Warszawa;al. Karkonoska;40;00-492
Polska;Warszawa;al. Karkonoska;100a;00-493
Polska;Warszawa;al. Karkonoska;25;00-493
Polska;Warszawa;al. Karkonoska;53c;00-495
Polska;Warszawa;al. Karkonoska;3;00-496
Polska;Warszawa;al. Karkonoska;99b;00-496
Polska;Warszawa;al. Karkonoska;71;00-497
Polska;Warszawa;al. Karkonoska;7;00-497
Polska;Warszawa;al. Karkonoska;99b;00-498
Polska;Warszawa;al. Karkonoska;80a;00-499
Polska;Warszawa;al. Karkonoska;17c;00-501
Polska;Warszawa;al. Karkonoska;52;00-502
Polska;Warszawa;al. Karkonoska;94a;00-503
Polska;Warszawa;al. Karkonoska;79c;00-504
Polska;Warszawa;al. Karkonoska;83;00-505
Polska;Warszawa;al. Karkonoska;19b;00-507
Polska;Warszawa;al. Karkonoska;84;00-508
Polska;Warszawa;al. Karkonoska;30;00-509
Polska;Warszawa;al. Karkonoska;82;00-510
Polska;Warszawa;al. Karkonoska;76c;00-511
Polska;Warszawa;al. Karkonoska;39a;00-512
Polska;Warszawa;al. Karkonoska;30;00-513
Polska;Warszawa;al. Karkonoska;40;00-514
Polska;Warszawa;al. Karkonoska;100;00-515
Polska;Warszawa;al. Karkonoska;25;00-516
Polska;Warszawa;al. Karkonoska;62b;00-517
Polska;Warszawa;al. Karkonoska;58c;00-518
Polska;Warszawa;al. Karkonoska;39;00-519
Polska;Warszawa;al. Karkonoska;79;00-519
Polska;Warszawa;al. Karkonoska;72c;00-521
Polska;Warszawa;al. Karkonoska;4a;00-522
Polska;Warszawa;al. Karkonoska;95;00-522
Polska;Warszawa;al. Karkonoska;91c;00-524
Polska;Warszawa;al. Karkonoska;86b;00-525
Polska;Warszawa;al. Karkonoska;55;00-526
Polska;Warszawa;al. Karkonoska;67a;00-527
Polska;Warszawa;al. Karkonoska;62;00-528
Polska;Warszawa;al. Karkonoska;69;00-529
Polska;Warszawa;al. Karkonoska;11b;00-530
Polska;Warszawa;al. Karkonoska;34;00-532
Polska;Warszawa;al. Karkonoska;3;00-533
Polska;Warszawa;al. Karkonoska;99;00-534
Polska;Warszawa;al. Jana Kasprowicza;4;00-535
Polska;Warszawa;al. Jana Kasprowicza;76;00-536
Polska;Warszawa;al. Jana Kasprowicza;12a;00-537
Polska;Warszawa;al. Jana Kasprowicza;71;00-538
Polska;Warszawa;al. Jana Kasprowicza;12;00-538
Polska;Warszawa;al. Jana Kasprowicza;93a;00-539
Polska;Warszawa;al. Jana Kasprowicza;17;00-540
Polska;Warszawa;al. Jana Kasprowicza;65b;00-541
Polska;Warszawa;al. Jana Kasprowicza;49b;00-542
Polska;Warszawa;al. Jana Kasprowicza;92c;00-543
Polska;Warszawa;al. Jana Kasprowicza;13;00-544
